song_id,artist,title,year,tag
373,Cayluu,GELATO feat. Devin,2021,rb
374,B Mac & B Sev,Undercover Love,2019,rb
375,Margie Joseph,Strange I Still Love You,1974,rb
376,Git Fresh,Booty Music,2015,rb
377,Knucks,Vows,2017,rb
378,Tank,Facetime,2020,rb
379,Montell Fish,Natural,2018,rb
380,"Mike WiLL Made-It, Tessa Thompson & Gunna",Midnight,2018,rb
381,Suave the producer,Georgia,2021,rb
382,Dave Tsimba,L.M.R.O.B.,2021,rb
383,Brazil Hill,In A Minute,2019,rb
384,Marr Grey,G-Code,2018,rb
385,Angel,More Fire,2013,rb
386,Yola,Now Youre Here,2021,rb
387,Angel,In Love,2019,rb
388,Brent Faiyaz,Fuck the World Summer in London,2019,rb
389,Eric Bellinger,What About Us Acoustic,2021,rb
390,Genius English Translations,C H E B . الشاب - طربوش دالورد - F R U I T English Translation,2021,rb
391,Tyrese,Dumb Shit,2014,rb
392,LA timpa,Fertile,2019,rb
393,Dons Life,This girl is biracial,2019,rb
394,"Marie Dahlstrm, Dan Diggas, Aligo",Sparks,2021,rb
395,The Moonglows,See Saw,1958,rb
396,Hammond Gamble,Memory No. 1,2008,rb
397,The Temptations,Ungena Za Ulimwengu Unite The World,1971,rb
398,Rai Hann,Just Do It,2020,rb
399,D-toks,Another Land,2020,rb
400,Dead Kennedys,Goons of Hazzard,1985,rock
401,The Who,Summertime Blues Royal Albert Hall,2003,rock
402,Ellen Foley,I Call My Pain by Your Name,2021,rock
403,Van Morrison,And the Healing Has Begun,1979,rock
404,Summerhead,Tiny Screens,2021,rock
405,Sorrytown,Shirley,2016,rock
406,Ben Weasel,Making You Cry live Chicago 2008,2009,rock
407,Rich Kids On LSD,Beautiful Feeling Pt. 3,1994,rock
408,12v Negative Earth,That Side of Me,2004,rock
409,Nacho Gomez Cao,My Ex,2020,rock
410,Sugarloaf,Things Gonna Change Some,1970,rock
411,Apple Sweet Apple,Cant fool me,2017,rock
412,Street Dogs,Borstal Breakout,2003,rock
413,The Scaramanga Six,Kate  Cindy,2021,rock
414,Chronolyth,Behold the Tyrants Fall,2013,rock
415,Dani Lee Pearce,Where The Wild Things Arent,2019,rock
416,Harborer,See Spot Run,2020,rock
417,Insolence,UnbreakableTruth to Power EP,2020,rock
418,Noah Dillon,The Man Im Not,2020,rock
419,"Captain, We're Sinking",You Have Flaws,2013,rock
420,Smiley & The Underclass,Rebels Out There,2019,rock
421,Dillon M.,Supermarket Lobster Tank,2018,rock
422,King Crimson,Happy with What You Have to Be Happy With,2002,rock
423,John Prine,Love Love Love,1986,rock
424,Enjoy The View,We’re Not the Same,2010,rock
425,Old 97's,Those Were the Days,2017,rock
426,The Roster,Ten Past Two,2019,rock
427,The Who,Its In You,1997,rock
428,Sosaveme,Sender/Reciever,2011,rock
429,Lena Gabrielle,Meropes Song,2008,rock
430,blink-182,Shut Up,2001,rock
431,House Ghost,Fall in the Ocean,2016,rock
432,Arrows To Athens,Jet Black Heart,2016,rock
433,No-No Boy,Pilgrims,2021,rock
434,Harrow,Second Sight,1996,rock
435,Tina Turner,What’s Love Got to Do with It,1984,rock
436,Deficit (AU),Death Prize,2021,rock
437,Jawbox,Mirrorful,1996,rock
438,Painting Promises,Doubts,2019,rock
439,Red Mesa,Revolution Coming,2014,rock
440,We Are Waves,Whenever Im Alone,2014,rock
441,YUNGBLUD,Kill Somebody Unplugged,2018,rock
442,Paul McCartney,3 Legs,1971,rock
443,Hangman's Chair,Touch the Razor,2018,rock
444,Stabilo,Everybody Bonus Track,2006,rock
445,Imminence,Keep Me,2017,rock
446,Amaros,Flesh of Fallen Angels,2017,rock
447,Hatebreed,Honor Never Dies,2013,rock
448,Kelly Carter,Dont Be Shy Him,2022,rock
449,The Summer Kills,Stop,2018,rock
450,Solanas,Pink Lakes,2015,rock
451,Graham Parker,First Day of Spring,1995,rock
452,30db,One Man Show,2010,rock
453,Finding Aureus,Murderboy,2021,rock
454,Ashland,Turn It Up,2017,rock
455,Lionize,Take the Edge Off,2006,rock
456,Morbid Angel,Beauty Meets Beast,2011,rock
457,Deadlights (Post-Hardcore),Backwash,2017,rock
458,Freshly Wrapped Candies,Think,1989,rock
459,King Gizzard & The Lizard Wizard,Altered Beast I,2017,rock
460,Asphyx,M.S. Bismarck,1992,rock
461,Bjrn Riis,The Waves,2017,rock
462,Allison Crutchfield,Mile Away,2017,rock
463,CODA FACTO,Ode To Rose,2021,rock
464,The Dunts,Hampden Cabs,2017,rock
465,Skarlett Riot,Faded Memory,2013,rock
466,The Dogs (Norway),They Were Wrong,2016,rock
467,Cerberus (Band),Rise With the Fallen Ones,2019,rock
468,Ray Charles,Tempo,2000,rock
469,Secondsun,Placeholder,2020,rock
470,311,Frolic Room,2006,rock
471,Glen Burtnik,Here Comes Sally,1987,rock
472,Django Django,Blue Hazy Highs,2018,rock
473,Pat Symington,Memory,2021,rock
474,Gojira,The Fall,2012,rock
475,Mr. Mendola,Smashing Pumpkins’s “Daydream”,2014,rock
476,Morphine,Honey White,1995,rock
477,Antediluvian,Communion with the Void,2012,rock
478,Urbanites,Waiting For Tomorrow,2018,rock
479,Neither/neither World,Rise,2003,rock
480,Superlove (UK),Wanna luv u,2022,rock
481,The Cramps,Dont Get Funny with Me,1991,rock
482,Mezmerized,Carry On,2020,rock
483,Airbourne,Fat City,2007,rock
484,Louis Armstrong,Didnt It Rain,1958,rock
485,The Legend (rock band),With A Girl Like You,2021,rock
486,The Velvet Underground,Dopey Joe,1973,rock
487,Harvey Parker,Rooms,2020,rock
488,Kim Mitchell,Rainbow,1995,rock
489,In This Moment,The Rabbit Hole,2008,rock
490,Forrister,Vampiretown,2013,rock
491,Atlantic Wasteland,Acquaintance,2019,rock
492,Jonas Brothers,Take On Me,2013,rock
493,Flatfoot 56,Forward,2017,rock
494,Mike Shupp,Without You,1997,rock
495,The Publics,First Impressions,2019,rock
